['48.801780#2.063047#0', '48.775712#2.042479#0'] 15
['48.801780#2.063047#0', '48.795647#2.141527#0'] 20
['48.801012#2.481990#0', '48.794700#2.504082#1'] 13
['48.764532#2.382985#0', '48.761916#2.401613#0'] 19
['48.787269#2.458662#1', '48.785903#2.446684#1'] 21
['48.785903#2.446684#0', '48.787269#2.458662#1'] 16
['48.729959#2.451201#0', '48.750861#2.446780#1'] 12
['48.976555#2.400217#0', '48.965009#2.364269#1', '48.976555#2.400217#1'] 12
['48.973242#2.372624#0', '48.965009#2.364269#1'] 13
['48.965009#2.364269#1', '48.973242#2.372624#1'] 19
['48.674668#2.377178#0', '48.691485#2.361449#1'] 13
['48.674668#2.377178#0', '48.691485#2.361449#0'] 19
['48.674668#2.377178#0', '48.654661#2.370519#0', '48.654661#2.370519#1'] 12
['48.674668#2.377178#0', '48.672882#2.359563#0', '48.672882#2.359563#1'] 14
['48.674668#2.377178#0', '48.699461#2.383516#0'] 21
['48.835499#2.631412#0', '48.838407#2.651012#0', '48.835499#2.631412#1', '48.838407#2.651012#1'] 13
['48.835499#2.631412#0', '48.844696#2.614938#0'] 14
['48.849264#2.218605#1', '48.850795#2.197025#1'] 12
['48.733870#2.227902#1', '48.733322#2.263597#1'] 20
['48.933484#2.473405#0', '48.934529#2.513724#0'] 12
['48.933484#2.473405#0', '48.924880#2.449441#0'] 15
['48.933484#2.473405#0', '48.933419#2.498087#0'] 22
['48.933484#2.473405#0', '48.933494#2.426388#0'] 13
['48.933484#2.473405#0', '48.945289#2.518306#1'] 14
['48.934529#2.513724#0', '48.933419#2.498087#0'] 15
['48.934529#2.513724#0', '48.945289#2.518306#0'] 18
['48.883788#2.511330#1', '48.886451#2.490017#1'] 13
['48.953983#2.232212#0', '48.950289#2.248321#0'] 16
['48.983141#2.241394#0', '48.989042#2.231390#0'] 13
['48.799893#2.312999#0', '48.806740#2.322037#0'] 19
['48.799893#2.312999#0', '48.789873#2.294063#0'] 18
['48.799893#2.312999#0', '48.806740#2.322037#1'] 18
['48.799893#2.312999#0', '48.819430#2.305218#0'] 12
['48.874156#2.461725#0', '48.858531#2.445885#0', '48.874156#2.461725#1'] 15
['48.874156#2.461725#0', '48.866692#2.477917#0'] 16
['48.824209#2.128807#0', '48.791012#2.124831#0'] 14
['48.824209#2.128807#0', '48.810726#2.124915#0'] 20
['48.824209#2.128807#0', '48.795647#2.141527#0'] 14
['48.997239#2.084227#0', '48.959875#2.068960#0'] 27
['48.901643#2.494943#0', '48.903501#2.481000#0', '48.901643#2.494943#1'] 18
['48.921229#2.180011#0', '48.933113#2.155929#0'] 26
['48.967970#2.257986#0', '48.950289#2.248321#0', '48.950289#2.248321#1'] 12
['48.653926#2.392971#0', '48.654661#2.370519#0'] 12
['48.850795#2.197025#0', '48.849264#2.218605#0', '48.850795#2.197025#1'] 13
['48.956722#2.310445#0', '48.952514#2.329164#0'] 16
['48.956722#2.310445#0', '48.960864#2.292833#1'] 12
['48.956722#2.310445#0', '48.960864#2.292833#0'] 32
['48.956722#2.310445#0', '48.933972#2.351383#0'] 14
['48.776918#2.353422#0', '48.762652#2.328610#1'] 13
['48.967970#2.257986#0', '48.983141#2.241394#1'] 13
['48.884902#2.619493#0', '48.871431#2.578178#0', '48.880961#2.589011#0'] 13
['48.884902#2.619493#0', '48.871431#2.578178#0', '48.871431#2.578178#1'] 12
['48.858531#2.445885#0', '48.869231#2.429384#0'] 15
['48.858531#2.445885#0', '48.849143#2.431710#0'] 15
['48.929801#2.392934#0', '48.926033#2.380985#0'] 18
['48.804805#2.187509#0', '48.819825#2.209377#0'] 24
['48.804805#2.187509#0', '48.795647#2.141527#0'] 18
['48.869287#2.408552#0', '48.874156#2.461725#1'] 17
['48.631522#2.414080#0', '48.617779#2.435351#0'] 12
['48.631522#2.414080#0', '48.634551#2.429733#0'] 16
['48.776918#2.353422#0', '48.784176#2.361641#1'] 18
['48.784176#2.361641#1', '48.776918#2.353422#1'] 23
['48.610913#2.319833#0', '48.605079#2.303253#0', '48.605079#2.303253#1'] 17
['48.950289#2.248321#0', '48.939045#2.220896#1'] 16
['48.849264#2.218605#0', '48.867424#2.136955#1'] 12
['48.871431#2.578178#0', '48.880961#2.589011#0', '48.871431#2.578178#1'] 15
['48.852590#2.501576#0', '48.846292#2.517464#0'] 18
['48.852590#2.501576#0', '48.853204#2.484699#1'] 12
['48.852590#2.501576#0', '48.853204#2.484699#0'] 17
['48.997319#2.260107#1', '48.983141#2.241394#1'] 12
['48.846292#2.517464#0', '48.832493#2.535334#0'] 15
['48.901643#2.494943#1', '48.903501#2.481000#1'] 17
['48.644124#2.356530#1', '48.642067#2.339758#1'] 13
['48.654661#2.370519#0', '48.644124#2.356530#1'] 13
['48.644124#2.356530#1', '48.672882#2.359563#1'] 15
['48.866829#2.498014#0', '48.866692#2.477917#0'] 22
['48.866829#2.498014#0', '48.853204#2.484699#0'] 13
['48.885699#2.470878#0', '48.886451#2.490017#0'] 16
['48.885699#2.470878#0', '48.883788#2.511330#0'] 13
['48.885699#2.470878#0', '48.891446#2.462865#0'] 18
['48.817920#2.544864#0', '48.832493#2.535334#0'] 26
['48.817920#2.544864#0', '48.832493#2.535334#1'] 13
