['48.865369#2.301374#0', '48.866289#2.312551#0'] 30
['48.865369#2.301374#0', '48.864499#2.296196#0'] 54
['48.865369#2.301374#0', '48.864878#2.323431#0'] 23
['48.865369#2.301374#0', '48.866648#2.327865#0'] 30
['48.865369#2.301374#0', '48.871809#2.332093#0'] 25
['48.865369#2.301374#0', '48.856729#2.351007#0'] 24
['48.865369#2.301374#0', '48.861963#2.335616#0'] 26
['48.850537#2.325320#0', '48.853269#2.332692#0'] 21
['48.850537#2.325320#0', '48.871809#2.332093#0'] 20
['48.850537#2.325320#0', '48.861963#2.335616#0'] 27
['48.878264#2.356160#0', '48.873294#2.363426#0'] 20
['48.878264#2.356160#0', '48.886342#2.342193#0'] 20
['48.878264#2.356160#0', '48.856729#2.351007#0'] 26
['48.878264#2.356160#0', '48.861963#2.335616#0'] 26
['48.873013#2.313648#0', '48.869421#2.321298#0'] 27
['48.873013#2.313648#0', '48.866972#2.306380#0'] 26
['48.873013#2.313648#0', '48.870409#2.309022#0'] 27
['48.873013#2.313648#0', '48.871198#2.303862#0'] 23
['48.873013#2.313648#0', '48.866289#2.312551#0'] 23
['48.873013#2.313648#0', '48.866648#2.327865#0'] 22
['48.873013#2.313648#0', '48.871809#2.332093#0'] 20
['48.873013#2.313648#0', '48.856729#2.351007#0'] 27
['48.854211#2.371439#1', '48.860468#2.351741#1'] 20
['48.854211#2.371439#1', '48.853076#2.348191#1'] 20
['48.854211#2.371439#1', '48.856729#2.351007#1'] 25
['48.866243#2.346136#1', '48.861963#2.335616#1'] 27
['48.866243#2.346136#1', '48.856729#2.351007#1'] 20
['48.856473#2.366518#0', '48.854211#2.371439#0'] 33
['48.856473#2.366518#0', '48.861005#2.364760#1'] 21
['48.856473#2.366518#0', '48.861005#2.364760#0'] 53
['48.856473#2.366518#0', '48.857107#2.360988#0'] 75
['48.856473#2.366518#0', '48.858336#2.355931#0'] 37
['48.856473#2.366518#0', '48.856729#2.351007#0'] 22
['48.856473#2.366518#0', '48.861963#2.335616#0'] 26
['48.870482#2.325748#0', '48.869421#2.321298#1'] 21
['48.869421#2.321298#1', '48.866972#2.306380#1'] 24
['48.869421#2.321298#1', '48.870409#2.309022#1'] 20
['48.866972#2.306380#0', '48.869421#2.321298#1'] 22
['48.869421#2.321298#1', '48.865121#2.331558#1'] 20
['48.869421#2.321298#1', '48.864878#2.323431#1'] 38
['48.869421#2.321298#1', '48.871198#2.303862#1'] 22
['48.869421#2.321298#1', '48.866648#2.327865#1'] 43
['48.869421#2.321298#1', '48.871809#2.332093#1'] 35
['48.864878#2.323431#0', '48.869421#2.321298#1'] 37
['48.866648#2.327865#0', '48.869421#2.321298#1'] 42
['48.871809#2.332093#0', '48.869421#2.321298#1'] 29
['48.869421#2.321298#1', '48.861963#2.335616#1'] 26
['48.861963#2.335616#0', '48.869421#2.321298#1'] 20
['48.873950#2.343426#0', '48.871809#2.332093#0'] 45
['48.873950#2.343426#0', '48.861963#2.335616#0'] 24
['48.853002#2.338139#1', '48.857877#2.336292#1'] 27
['48.853002#2.338139#1', '48.855393#2.343176#1'] 27
['48.853002#2.338139#1', '48.853269#2.332692#1'] 44
['48.853269#2.332692#0', '48.853002#2.338139#1'] 22
['48.853002#2.338139#1', '48.853076#2.348191#1'] 37
['48.853002#2.338139#1', '48.861963#2.335616#1'] 34
['48.853002#2.338139#1', '48.856729#2.351007#1'] 29
['48.861963#2.335616#0', '48.853002#2.338139#1'] 21
['48.870482#2.325748#0', '48.869421#2.321298#0'] 50
['48.870482#2.325748#0', '48.874779#2.327955#0'] 36
['48.870482#2.325748#0', '48.866972#2.306380#0'] 26
['48.870482#2.325748#0', '48.866289#2.312551#0'] 22
['48.870482#2.325748#0', '48.871809#2.332093#1'] 24
['48.870482#2.325748#0', '48.864878#2.323431#0'] 47
['48.870482#2.325748#0', '48.866648#2.327865#0'] 65
['48.870482#2.325748#0', '48.871809#2.332093#0'] 63
['48.870482#2.325748#0', '48.856729#2.351007#0'] 25
['48.870482#2.325748#0', '48.861963#2.335616#0'] 29
['48.874779#2.327955#1', '48.871809#2.332093#1'] 65
['48.871809#2.332093#0', '48.874779#2.327955#1'] 42
['48.874779#2.327955#1', '48.861963#2.335616#1'] 22
['48.874779#2.327955#1', '48.856729#2.351007#1'] 22
['48.867541#2.365082#0', '48.873294#2.363426#1'] 21
['48.873294#2.363426#1', '48.861005#2.364760#1'] 24
['48.873294#2.363426#1', '48.861963#2.335616#1'] 30
['48.873294#2.363426#1', '48.856729#2.351007#1'] 20
['48.883694#2.332549#1', '48.873868#2.295474#1'] 25
['48.886342#2.342193#0', '48.883694#2.332549#1'] 36
['48.883694#2.332549#1', '48.858574#2.298731#1'] 30
['48.883694#2.332549#1', '48.860468#2.351741#1'] 24
['48.883694#2.332549#1', '48.858221#2.294241#1'] 33
['48.853076#2.348191#0', '48.883694#2.332549#1'] 23
['48.883694#2.332549#1', '48.853076#2.348191#1'] 32
['48.883694#2.332549#1', '48.871809#2.332093#1'] 29
['48.883694#2.332549#1', '48.861963#2.335616#1'] 37
['48.883694#2.332549#1', '48.856729#2.351007#1'] 30
['48.861963#2.335616#0', '48.883694#2.332549#1'] 25
['48.865951#2.354525#0', '48.864097#2.361068#0'] 33
['48.865951#2.354525#0', '48.860468#2.351741#0'] 37
['48.865951#2.354525#0', '48.866648#2.327865#0'] 20
['48.865951#2.354525#0', '48.856729#2.351007#1'] 20
['48.865951#2.354525#0', '48.856729#2.351007#0'] 24
['48.865951#2.354525#0', '48.861963#2.335616#0'] 27
['48.870106#2.300457#1', '48.866972#2.306380#1'] 20
['48.870106#2.300457#1', '48.870409#2.309022#1'] 52
['48.870409#2.309022#0', '48.870106#2.300457#1'] 23
['48.870106#2.300457#1', '48.873868#2.295474#1'] 47
['48.871198#2.303862#0', '48.870106#2.300457#1'] 23
['48.870106#2.300457#1', '48.871198#2.303862#1'] 55
['48.870106#2.300457#1', '48.866648#2.327865#1'] 21
['48.870106#2.300457#1', '48.864499#2.296196#1'] 20
['48.870106#2.300457#1', '48.858221#2.294241#1'] 37
['48.866289#2.312551#0', '48.870106#2.300457#1'] 23
['48.870106#2.300457#1', '48.861963#2.335616#1'] 27
['48.861963#2.335616#0', '48.870106#2.300457#1'] 25
['48.867541#2.365082#0', '48.864097#2.361068#1'] 21
['48.867541#2.365082#0', '48.873294#2.363426#0'] 56
['48.867541#2.365082#0', '48.864097#2.361068#0'] 61
['48.867541#2.365082#0', '48.861005#2.364760#0'] 36
['48.859998#2.346554#1', '48.855393#2.343176#1'] 27
['48.859998#2.346554#1', '48.860468#2.351741#1'] 38
['48.859998#2.346554#1', '48.858221#2.294241#1'] 37
['48.859998#2.346554#1', '48.853076#2.348191#1'] 53
['48.859998#2.346554#1', '48.861963#2.335616#1'] 58
['48.859998#2.346554#1', '48.856729#2.351007#1'] 43
['48.856729#2.351007#0', '48.859998#2.346554#1'] 21
['48.861963#2.335616#0', '48.859998#2.346554#1'] 32
['48.860044#2.325422#0', '48.853002#2.338139#0'] 24
['48.860044#2.325422#0', '48.857877#2.336292#0'] 25
['48.860044#2.325422#0', '48.853269#2.332692#0'] 28
['48.860044#2.325422#0', '48.858574#2.298731#0'] 22
['48.860044#2.325422#0', '48.858221#2.294241#0'] 25
['48.860044#2.325422#0', '48.860468#2.351741#0'] 21
['48.860044#2.325422#0', '48.858574#2.298731#1'] 20
['48.860044#2.325422#0', '48.860468#2.351741#1'] 24
['48.860044#2.325422#0', '48.865121#2.331558#0'] 22
['48.860044#2.325422#0', '48.853076#2.348191#0'] 36
['48.860044#2.325422#0', '48.864878#2.323431#0'] 55
['48.860044#2.325422#0', '48.866648#2.327865#0'] 28
['48.860044#2.325422#0', '48.871809#2.332093#0'] 21
['48.860044#2.325422#0', '48.861963#2.335616#1'] 32
['48.860044#2.325422#0', '48.856729#2.351007#1'] 20
['48.860044#2.325422#0', '48.856729#2.351007#0'] 22
['48.860044#2.325422#0', '48.861963#2.335616#0'] 64
['48.859998#2.346554#0', '48.855393#2.343176#0'] 28
['48.859998#2.346554#0', '48.861516#2.341838#0'] 31
['48.859998#2.346554#0', '48.860468#2.351741#0'] 50
['48.859998#2.346554#0', '48.860468#2.351741#1'] 20
['48.859998#2.346554#0', '48.865121#2.331558#0'] 20
['48.859998#2.346554#0', '48.853076#2.348191#0'] 32
['48.859998#2.346554#0', '48.871809#2.332093#0'] 27
['48.859998#2.346554#0', '48.861963#2.335616#1'] 27
['48.859998#2.346554#0', '48.856729#2.351007#0'] 51
['48.859998#2.346554#0', '48.861963#2.335616#0'] 53
['48.855393#2.343176#0', '48.853002#2.338139#0'] 35
['48.855393#2.343176#0', '48.861516#2.341838#0'] 22
['48.855393#2.343176#0', '48.857877#2.336292#0'] 41
['48.855393#2.343176#0', '48.853269#2.332692#0'] 21
['48.855393#2.343176#0', '48.858574#2.298731#0'] 26
['48.855393#2.343176#0', '48.858221#2.294241#0'] 24
['48.855393#2.343176#0', '48.886342#2.342193#0'] 28
['48.855393#2.343176#0', '48.860468#2.351741#0'] 21
['48.855393#2.343176#0', '48.853076#2.348191#0', '48.856729#2.351007#0'] 22
['48.855393#2.343176#0', '48.853076#2.348191#0', '48.861963#2.335616#0'] 22
['48.855393#2.343176#0', '48.853076#2.348191#1'] 27
['48.854211#2.371439#0', '48.857107#2.360988#0'] 31
['48.854211#2.371439#0', '48.853076#2.348191#0'] 20
['48.854211#2.371439#0', '48.871809#2.332093#0'] 21
['48.854211#2.371439#0', '48.856729#2.351007#0'] 30
['48.854211#2.371439#0', '48.861963#2.335616#0'] 22
['48.870106#2.300457#0', '48.866972#2.306380#1'] 22
['48.869421#2.321298#0', '48.866972#2.306380#1'] 26
['48.866972#2.306380#1', '48.870409#2.309022#1'] 32
['48.866972#2.306380#1', '48.866289#2.312551#1'] 48
['48.870409#2.309022#0', '48.866972#2.306380#1'] 38
['48.866972#2.306380#1', '48.864878#2.323431#1'] 21
['48.871198#2.303862#0', '48.866972#2.306380#1'] 23
