['51.482126#-0.096914#1', '51.491930#-0.103413#1'] 19
['51.491930#-0.103413#0', '51.482126#-0.096914#1'] 12
['51.551877#-0.110646#0', '51.543006#-0.105798#0'] 8
['51.532068#-0.082485#1', '51.536363#-0.075726#1'] 10
['51.532068#-0.082485#1', '51.526776#-0.087883#1'] 10
['51.532068#-0.082485#1', '51.526246#-0.079833#1'] 19
['51.526246#-0.079833#0', '51.532068#-0.082485#1'] 13
['51.470442#-0.099923#1', '51.474848#-0.111254#1'] 10
['51.470442#-0.099923#1', '51.473249#-0.083813#1'] 14
['51.473249#-0.083813#0', '51.470442#-0.099923#1'] 11
['51.476410#-0.041613#1', '51.490258#-0.046170#1'] 8
['51.533062#-0.215480#0', '51.527588#-0.204959#0'] 10
['51.533062#-0.215480#0', '51.516515#-0.203931#0'] 11
['51.470442#-0.099923#0', '51.474848#-0.111254#1'] 8
['51.510828#-0.230087#0', '51.507732#-0.220152#1'] 9
['51.510828#-0.230087#0', '51.507732#-0.220152#0'] 11
['51.555874#-0.212097#0', '51.541659#-0.200934#0'] 9
['51.498930#-0.049675#1', '51.490258#-0.046170#1'] 9
['51.498930#-0.049675#1', '51.495846#-0.062361#1'] 12
['51.498930#-0.049675#1', '51.505913#-0.076029#1'] 8
['51.506309#-0.099046#0', '51.498930#-0.049675#1'] 9
['51.470805#-0.185222#0', '51.458349#-0.190212#1'] 10
['51.482126#-0.096914#0', '51.490508#-0.087986#0'] 11
['51.482126#-0.096914#0', '51.470442#-0.099923#0'] 12
['51.482126#-0.096914#0', '51.473249#-0.083813#0'] 11
['51.482126#-0.096914#0', '51.491930#-0.103413#1'] 9
['51.482126#-0.096914#0', '51.491930#-0.103413#0'] 10
['51.472495#-0.203903#1', '51.463329#-0.215425#1'] 9
['51.472495#-0.203903#1', '51.480982#-0.200875#1'] 12
['51.480982#-0.200875#0', '51.472495#-0.203903#1'] 9
['51.475460#-0.153924#0', '51.488342#-0.148392#0'] 16
['51.475460#-0.153924#0', '51.475447#-0.169583#1'] 9
['51.475460#-0.153924#0', '51.475447#-0.169583#0'] 19
['51.475460#-0.153924#0', '51.463919#-0.170362#0'] 8
['51.475460#-0.153924#0', '51.490881#-0.158943#0'] 9
['51.475460#-0.153924#0', '51.484062#-0.179006#0'] 8
['51.488342#-0.148392#1', '51.490881#-0.158943#1'] 11
['51.488342#-0.148392#1', '51.489371#-0.167593#1'] 9
['51.538603#-0.156336#1', '51.531998#-0.173010#1'] 8
['51.531998#-0.173010#0', '51.538603#-0.156336#1'] 8
['51.538603#-0.156336#1', '51.523419#-0.162045#1'] 8
['51.538603#-0.156336#1', '51.523436#-0.153334#1'] 17
['51.538603#-0.156336#1', '51.542385#-0.147899#1'] 15
['51.542385#-0.147899#0', '51.538603#-0.156336#1'] 10
['51.523436#-0.153334#0', '51.538603#-0.156336#1'] 11
['51.538603#-0.156336#1', '51.515793#-0.153489#1'] 10
['51.490508#-0.087986#0', '51.502394#-0.106020#0'] 9
['51.490508#-0.087986#0', '51.473249#-0.083813#0'] 9
['51.490508#-0.087986#0', '51.491930#-0.103413#1'] 11
['51.490508#-0.087986#0', '51.491930#-0.103413#0'] 19
['51.490508#-0.087986#0', '51.504584#-0.088768#0'] 14
['51.476410#-0.041613#0', '51.490258#-0.046170#0'] 10
['51.472495#-0.203903#0', '51.463329#-0.215425#1'] 12
['51.470442#-0.099923#0', '51.473249#-0.083813#0', '51.473249#-0.083813#1'] 8
['51.502394#-0.106020#0', '51.490508#-0.087986#1'] 8
['51.490508#-0.087986#1', '51.491930#-0.103413#1'] 15
['51.491930#-0.103413#0', '51.490508#-0.087986#1'] 13
['51.504584#-0.088768#0', '51.490508#-0.087986#1'] 10
['51.441812#-0.200444#0', '51.458349#-0.190212#0'] 8
['51.535192#-0.028499#1', '51.533620#-0.041028#1'] 20
['51.470187#-0.070420#1', '51.473249#-0.083813#1'] 17
['51.473249#-0.083813#0', '51.470187#-0.070420#1'] 9
['51.499141#-0.080067#0', '51.470187#-0.070420#1'] 8
['51.490258#-0.046170#1', '51.495846#-0.062361#1'] 10
['51.520206#-0.051273#0', '51.520206#-0.051273#1', '51.517527#-0.064140#1'] 8
['51.520206#-0.051273#0', '51.515364#-0.146889#1'] 8
['51.520206#-0.051273#0', '51.517527#-0.064140#0'] 11
['51.520206#-0.051273#0', '51.529483#-0.054887#0'] 13
['51.520206#-0.051273#0', '51.524466#-0.076127#1'] 8
['51.520206#-0.051273#0', '51.519310#-0.072951#1'] 8
['51.465206#-0.153753#0', '51.463919#-0.170362#0'] 11
['51.532068#-0.082485#0', '51.540131#-0.083811#0'] 14
['51.532068#-0.082485#0', '51.536363#-0.075726#0'] 12
['51.532068#-0.082485#0', '51.533788#-0.104497#0'] 10
['51.532068#-0.082485#0', '51.545370#-0.072736#1'] 8
['51.532068#-0.082485#0', '51.526246#-0.079833#1'] 8
['51.532068#-0.082485#0', '51.526246#-0.079833#0'] 20
['51.555874#-0.212097#1', '51.541659#-0.200934#1'] 9
['51.492086#-0.196830#0', '51.491268#-0.189026#0'] 15
['51.492086#-0.196830#0', '51.490241#-0.210219#0'] 9
['51.522731#-0.036111#0', '51.533620#-0.041028#1'] 10
['51.533620#-0.041028#1', '51.522731#-0.036111#1'] 11
['51.529483#-0.054887#0', '51.533620#-0.041028#1'] 8
['51.533620#-0.041028#1', '51.526246#-0.079833#1'] 10
['51.507501#-0.161528#1', '51.513840#-0.172986#1'] 25
['51.507501#-0.161528#1', '51.516999#-0.179397#1'] 9
['51.513840#-0.172986#0', '51.507501#-0.161528#1'] 11
['51.515611#-0.163122#0', '51.507501#-0.161528#1'] 11
['51.507501#-0.161528#1', '51.515611#-0.163122#1'] 23
['51.507501#-0.161528#1', '51.512863#-0.186752#1'] 19
['51.507501#-0.161528#1', '51.489371#-0.167593#1'] 8
['51.507501#-0.161528#1', '51.508281#-0.150277#1'] 13
['51.512863#-0.186752#0', '51.507501#-0.161528#1'] 11
['51.507501#-0.161528#1', '51.505913#-0.076029#1'] 13
['51.507501#-0.161528#1', '51.515793#-0.153489#1'] 17
['51.515793#-0.153489#0', '51.507501#-0.161528#1'] 14
['51.490258#-0.046170#0', '51.495846#-0.062361#1'] 12
['51.488342#-0.148392#0', '51.490881#-0.158943#0'] 8
['51.488342#-0.148392#0', '51.489371#-0.167593#1'] 9
['51.488342#-0.148392#0', '51.484062#-0.179006#0'] 8
['51.488342#-0.148392#0', '51.489371#-0.167593#0'] 14
['51.492424#-0.176028#1', '51.491268#-0.189026#1'] 10
['51.492424#-0.176028#1', '51.484062#-0.179006#1'] 10
['51.492424#-0.176028#1', '51.512863#-0.186752#1'] 8
['51.492424#-0.176028#1', '51.489371#-0.167593#1'] 12
['51.484062#-0.179006#0', '51.492424#-0.176028#1'] 11
['51.489371#-0.167593#0', '51.492424#-0.176028#1'] 20
['51.480982#-0.200875#1', '51.479161#-0.189763#1'] 12
['51.472495#-0.203903#0', '51.480982#-0.200875#1'] 11
['51.479161#-0.189763#0', '51.480982#-0.200875#1'] 11
['51.489371#-0.167593#0', '51.480982#-0.200875#1'] 8
['51.540131#-0.083811#0', '51.551778#-0.049783#0'] 9
['51.540131#-0.083811#0', '51.536363#-0.075726#1'] 8
['51.540131#-0.083811#0', '51.536363#-0.075726#0'] 14
['51.540131#-0.083811#0', '51.536982#-0.060694#0'] 9
['51.540131#-0.083811#0', '51.545370#-0.072736#1'] 13
['51.540131#-0.083811#0', '51.545370#-0.072736#0'] 19
['51.540131#-0.083811#0', '51.524466#-0.076127#0'] 10
['51.540131#-0.083811#0', '51.526246#-0.079833#0'] 10
['51.480982#-0.200875#0', '51.490241#-0.210219#0'] 8
['51.480982#-0.200875#0', '51.470805#-0.185222#1'] 8
['51.480982#-0.200875#0', '51.479161#-0.189763#1'] 11
['51.480982#-0.200875#0', '51.472495#-0.203903#0'] 23
['51.480982#-0.200875#0', '51.479161#-0.189763#0'] 12
['51.465206#-0.153753#1', '51.463919#-0.170362#1'] 10
['51.490258#-0.046170#0', '51.504584#-0.088768#0'] 8
['51.536581#-0.189548#1', '51.527624#-0.183155#1'] 16
['51.541659#-0.200934#0', '51.536581#-0.189548#1'] 9
['51.536581#-0.189548#1', '51.546014#-0.181029#1'] 15
['51.546014#-0.181029#0', '51.536581#-0.189548#1'] 9
['51.527624#-0.183155#0', '51.536581#-0.189548#1'] 9
['51.491268#-0.189026#0', '51.490881#-0.158943#1'] 12
['51.491268#-0.189026#0', '51.479161#-0.189763#0'] 16
['51.523716#-0.103944#1', '51.515788#-0.108170#1'] 9
['51.523716#-0.103944#1', '51.524272#-0.110616#1'] 9
['51.523716#-0.103944#1', '51.526139#-0.096430#1'] 22
