['41.380809#2.173534#0', '41.381235#2.123455#1'] 11
['41.381235#2.123455#1', '41.384923#2.171229#1'] 10
['41.384923#2.171229#0', '41.381235#2.123455#1'] 11
['41.380763#2.163818#1', '41.387859#2.169580#1'] 9
['41.383014#2.176409#1', '41.393697#2.160463#1'] 8
['41.383014#2.176409#1', '41.383364#2.183132#1'] 10
['41.403148#2.173893#0', '41.383014#2.176409#1'] 8
['41.383014#2.176409#1', '41.380809#2.173534#1'] 10
['41.380809#2.173534#0', '41.383014#2.176409#1'] 10
['41.383014#2.176409#1', '41.384923#2.171229#1'] 12
['41.384923#2.171229#0', '41.383014#2.176409#1'] 11
['41.387859#2.169580#0', '41.383014#2.176409#1'] 8
['41.387539#2.160511#0', '41.384891#2.163855#0'] 12
['41.387539#2.160511#0', '41.389976#2.166449#0'] 9
['41.387539#2.160511#0', '41.393079#2.164209#0'] 8
['41.384891#2.163855#0', '41.380763#2.163818#0'] 11
['41.384891#2.163855#0', '41.385667#2.167100#0'] 13
['41.384891#2.163855#0', '41.389976#2.166449#0'] 8
['41.384891#2.163855#0', '41.384923#2.171229#0'] 10
['41.384891#2.163855#0', '41.387859#2.169580#0'] 9
['41.380763#2.163818#0', '41.380809#2.173534#0'] 8
['41.380763#2.163818#0', '41.387859#2.169580#0'] 26
['41.385667#2.167100#0', '41.383014#2.176409#0'] 8
['41.385667#2.167100#0', '41.389976#2.166449#0'] 8
['41.385667#2.167100#0', '41.384923#2.171229#0'] 14
['41.385667#2.167100#0', '41.387859#2.169580#0'] 26
['41.376884#2.175525#0', '41.380809#2.173534#0'] 16
['41.376884#2.175525#0', '41.384923#2.171229#1'] 8
['41.376884#2.175525#0', '41.384923#2.171229#0'] 17
['41.403148#2.173893#1', '41.393697#2.160463#1'] 16
['41.403148#2.173893#1', '41.393079#2.164209#1'] 19
['41.403148#2.173893#1', '41.383364#2.183132#1'] 8
['41.403148#2.173893#1', '41.380809#2.173534#1'] 8
['41.403148#2.173893#1', '41.389976#2.166449#1'] 10
['41.390827#2.146041#0', '41.387859#2.169580#1'] 8
['41.391126#2.172356#0', '41.389976#2.166449#0'] 10
['41.391126#2.172356#0', '41.387859#2.169580#0'] 12
['41.393697#2.160463#1', '41.393079#2.164209#1'] 21
['41.403148#2.173893#0', '41.393697#2.160463#1'] 8
['41.393697#2.160463#1', '41.380809#2.173534#1'] 8
['41.393697#2.160463#1', '41.389976#2.166449#1'] 10
['41.393697#2.160463#1', '41.387859#2.169580#1'] 8
['41.380809#2.173534#0', '41.393697#2.160463#1'] 8
['41.393079#2.164209#0', '41.393697#2.160463#1'] 10
['41.393697#2.160463#1', '41.384923#2.171229#1'] 13
['41.393079#2.164209#1', '41.380809#2.173534#1'] 10
['41.393079#2.164209#1', '41.389976#2.166449#1'] 26
['41.389976#2.166449#0', '41.393079#2.164209#1'] 14
['41.393079#2.164209#1', '41.387859#2.169580#1'] 16
['41.393079#2.164209#1', '41.384923#2.171229#1'] 9
['41.387859#2.169580#0', '41.393079#2.164209#1'] 13
['41.393697#2.160463#0', '41.403148#2.173893#0'] 16
['41.393697#2.160463#0', '41.380809#2.173534#1'] 8
['41.393697#2.160463#0', '41.389976#2.166449#0'] 14
['41.393697#2.160463#0', '41.380809#2.173534#0'] 10
['41.393697#2.160463#0', '41.393079#2.164209#0'] 29
['41.393697#2.160463#0', '41.387859#2.169580#0'] 12
['41.383364#2.183132#1', '41.380809#2.173534#1'] 10
['41.383364#2.183132#1', '41.389976#2.166449#1'] 11
['41.383364#2.183132#0', '41.383014#2.176409#0'] 13
['41.383364#2.183132#0', '41.403148#2.173893#0'] 9
['41.383364#2.183132#0', '41.389976#2.166449#0'] 9
['41.383364#2.183132#0', '41.380809#2.173534#0'] 18
['41.383014#2.176409#0', '41.403148#2.173893#0'] 10
['41.383014#2.176409#0', '41.380809#2.173534#1'] 12
['41.383014#2.176409#0', '41.380809#2.173534#0'] 29
['41.383014#2.176409#0', '41.393079#2.164209#0'] 10
['41.383014#2.176409#0', '41.384923#2.171229#1'] 10
['41.383014#2.176409#0', '41.384923#2.171229#0'] 21
['41.383014#2.176409#0', '41.387859#2.169580#0'] 14
['41.403148#2.173893#0', '41.380809#2.173534#1'] 13
['41.403148#2.173893#0', '41.389976#2.166449#0'] 10
['41.403148#2.173893#0', '41.380809#2.173534#0'] 12
['41.403148#2.173893#0', '41.393079#2.164209#0'] 14
['41.403148#2.173893#0', '41.384923#2.171229#1'] 12
['41.403148#2.173893#0', '41.384923#2.171229#0'] 14
['41.403148#2.173893#0', '41.387859#2.169580#0'] 9
['41.380809#2.173534#1', '41.389976#2.166449#1'] 20
['41.389976#2.166449#0', '41.380809#2.173534#1'] 9
['41.380809#2.173534#1', '41.387859#2.169580#1'] 30
['41.393079#2.164209#0', '41.380809#2.173534#1'] 8
['41.380809#2.173534#1', '41.384923#2.171229#1'] 32
['41.384923#2.171229#0', '41.380809#2.173534#1'] 14
['41.387859#2.169580#0', '41.380809#2.173534#1'] 12
['41.389976#2.166449#1', '41.387859#2.169580#1'] 24
['41.380809#2.173534#0', '41.389976#2.166449#1'] 16
['41.393079#2.164209#0', '41.389976#2.166449#1'] 8
['41.389976#2.166449#1', '41.384923#2.171229#1'] 14
['41.384923#2.171229#0', '41.389976#2.166449#1'] 10
['41.389976#2.166449#0', '41.387859#2.169580#1'] 8
['41.389976#2.166449#0', '41.380809#2.173534#0'] 8
['41.389976#2.166449#0', '41.393079#2.164209#0'] 23
