['51.349641#-0.097453#0', '51.332606#-0.120902#0'] 18
['51.349641#-0.097453#0', '51.373368#-0.099501#0'] 24
['51.368243#-0.200902#0', '51.357978#-0.142166#0', '51.357978#-0.142166#1'] 16
['51.645056#-0.069726#0', '51.661095#-0.080059#0'] 26
['51.397834#-0.196364#0', '51.379165#-0.164794#0', '51.379165#-0.164794#1'] 16
['51.397834#-0.196364#0', '51.414199#-0.222808#0'] 16
['51.397834#-0.196364#0', '51.420295#-0.200431#0'] 23
['51.646638#-0.046129#0', '51.625166#-0.056348#0'] 17
['51.548759#0.199517#1', '51.561916#0.216052#1'] 18
['51.561916#0.216052#0', '51.548759#0.199517#1'] 19
['51.535653#0.172320#0', '51.565081#0.167672#0'] 19
['51.661095#-0.080059#1', '51.645056#-0.069726#1'] 20
['51.450035#0.207539#1', '51.442157#0.179718#1'] 20
['51.393341#0.046712#0', '51.403787#0.021682#0'] 18
['51.451346#0.025141#1', '51.461713#0.006704#1'] 19
['51.451346#0.025141#1', '51.464008#-0.010588#1'] 16
['51.494685#0.052456#0', '51.486001#0.080646#0'] 16
['51.494685#0.052456#0', '51.486001#0.080646#1'] 19
['51.494685#0.052456#0', '51.497508#0.071967#0'] 27
['51.494685#0.052456#0', '51.481010#0.024046#0'] 22
['51.508629#0.019398#1', '51.519947#0.015106#1'] 19
['51.420410#-0.312405#1', '51.409743#-0.302636#1'] 19
['51.409743#-0.302636#0', '51.420410#-0.312405#1'] 22
['51.443596#-0.005062#0', '51.464008#-0.010588#0'] 20
['51.569297#0.097225#1', '51.570622#0.114914#1'] 28
['51.569297#0.097225#1', '51.562139#0.072332#1'] 18
['51.396732#-0.035375#0', '51.418739#-0.022139#0'] 19
['51.568061#-0.199825#1', '51.585179#-0.229596#1'] 17
['51.422162#-0.160233#0', '51.409609#-0.151380#0'] 17
['51.422162#-0.160233#0', '51.432525#-0.165738#0'] 21
['51.401914#-0.070593#0', '51.383549#-0.086310#0'] 17
['51.401914#-0.070593#0', '51.373368#-0.099501#0'] 16
['51.446741#-0.324329#1', '51.461219#-0.298652#1'] 21
['51.461219#-0.298652#0', '51.446741#-0.324329#1'] 21
['51.446741#-0.324329#0', '51.431269#-0.332957#0'] 20
['51.446741#-0.324329#0', '51.461219#-0.298652#0'] 19
['51.409743#-0.302636#0', '51.382714#-0.293588#1'] 16
['51.396925#-0.229615#0', '51.373325#-0.236061#0'] 25
['51.396925#-0.229615#0', '51.414199#-0.222808#0'] 29
['51.396925#-0.229615#0', '51.420295#-0.200431#0'] 28
['51.661095#-0.080059#0', '51.645056#-0.069726#1'] 30
['51.645056#-0.069726#1', '51.625166#-0.056348#1'] 17
['51.573653#-0.296755#1', '51.580341#-0.321148#1'] 23
['51.468252#0.112412#0', '51.465888#0.132307#1'] 17
['51.468252#0.112412#0', '51.465888#0.132307#0'] 29
['51.468252#0.112412#0', '51.454708#0.151991#0'] 17
['51.550373#-0.480475#1', '51.532716#-0.475071#1'] 25
['51.532716#-0.475071#0', '51.550373#-0.480475#1'] 27
['51.607600#-0.280968#0', '51.593554#-0.244315#0'] 17
['51.607600#-0.280968#0', '51.593554#-0.244315#1'] 18
['51.390473#-0.314450#0', '51.382714#-0.293588#0'] 18
['51.390473#-0.314450#0', '51.409743#-0.302636#0'] 30
['51.409304#-0.127701#0', '51.403638#-0.093857#0'] 16
['51.409304#-0.127701#0', '51.426327#-0.137460#0'] 26
['51.565188#0.129929#0', '51.570622#0.114914#0'] 17
['51.565188#0.129929#0', '51.562139#0.072332#0'] 17
['51.762685#-0.248470#0', '51.768071#-0.227859#1'] 19
['51.768071#-0.227859#1', '51.762685#-0.248470#1'] 24
['51.569075#0.009403#1', '51.594087#0.025896#1'] 18
['51.454708#0.151991#0', '51.442157#0.179718#1'] 19
['51.420410#-0.312405#0', '51.403050#-0.248555#1'] 16
['51.403050#-0.248555#1', '51.414199#-0.222808#1'] 16
['51.592306#-0.010813#0', '51.577715#-0.015065#0'] 28
